2000005218859 | 675030!-1
2000062241503 | 1626124!-1
2000066224729 | 1397824!+1
2000087500919 | 1540867!-1
2000088755683 | 698227!-1
2000116300727 | 899905!-1
2000117237317 | 1442640!-1
2000126910517 | 786075!+1
2000162980243 | 1495327!-1
2000167292561 | 1107365!+1
2000179633831 | 682326!-1
2000184465299 | 1067588!-1
2000198276471 | 1096559!+1
2000211147257 | 455007!+1
2000227924433 | 1088251!+1
2000304289843 | 1353251!-1
2000308982627 | 835499!-1
2000324382697 | 989969!+1
2000333937353 | 1970878!+1
2000354918161 | 1741874!-1
2000355991807 | 1044047!+1
2000357749919 | 915831!+1
2000373066301 | 1397652!-1
2000375499769 | 437084!+1
2000392428733 | 581950!-1
2000422304513 | 452630!+1
2000444516891 | 396519!-1
2000447686613 | 477098!+1
2000457023603 | 1807480!-1
2000464748003 | 1324811!-1
2000482509593 | 789307!+1
2000490020119 | 1183369!-1
2000517264511 | 386122!-1
2000521150063 | 1485957!+1
2000525398889 | 1882247!-1
2000556745387 | 439147!+1
2000562304133 | 1932864!-1
2000564281427 | 304124!-1
2000596774889 | 233925!+1
2000614103281 | 950759!+1
2000627637293 | 1230727!+1
2000636241341 | 998426!+1
2000650333091 | 1937572!-1
2000657146003 | 1772631!+1
2000693564879 | 985024!-1
2000703755563 | 736609!+1
2000708186801 | 1742297!+1
2000765267659 | 1707961!-1
2000822572387 | 1330960!-1
2000861251861 | 159581!+1
2000868601819 | 1206663!+1
2000871169223 | 1007964!+1
2000872293377 | 921625!-1
2000913605377 | 214549!-1
2000915754559 | 1520082!-1
2000926379227 | 1512538!-1
2000938050497 | 303275!-1
